Stock File,Total Rows,Duplicate Pairs,Row1,Row2,Date,Action,Qty,Price1,Price2,Cost1,Cost2,Exch1,Exch2
Ashok Leyland Ltd.xlsx,96,29,48,49,2023-12-22 00:00:00,Buy,10,171.8,171.8,1730.2,1730.2,NSE,NSE
Ashok Leyland Ltd.xlsx,96,29,65,66,2021-02-03 00:00:00,Sell,100,132.0407,132.9398,13297.07,13386.98,NSE,NSE
Asian Paints Ltd.xlsx,20,2,14,15,2025-06-04 00:00:00,Buy,1.0,2267.87,2267.87,2267.87,2267.87,NSE,NSE
Asian Paints Ltd.xlsx,20,2,22,24,2025-02-17 00:00:00,Buy,2.0,2247.11,2247.11,4494.22,4494.22,NSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,12,25,2025-10-29 00:00:00,Buy,4,1106.2,1114.03,4456.12,,NSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,13,24,2025-10-29 00:00:00,Buy,1,1106.2,1114.04,1114.04,,NSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,14,26,2025-10-27 00:00:00,Buy,5,1090,1097.73,5488.66,,NSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,15,27,2025-10-24 00:00:00,Buy,4,1097.15,1104.94,4419.78,,BSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,16,28,2025-10-24 00:00:00,Buy,1,1097,1104.77,1104.77,,BSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,17,29,2025-10-23 00:00:00,Buy,5,1100.5,1108.3,5541.51,,NSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,18,30,2025-10-20 00:00:00,Buy,5,1107.7,1115.56,5577.81,,BSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,21,33,2025-09-24 00:00:00,Buy,4,1106.4,1114.24,4456.98,,BSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,22,32,2025-09-24 00:00:00,Buy,1,1106.45,1114.3,1114.3,,BSE,NSE
Aurobindo Pharma Ltd.xlsx,79,10,23,34,2025-08-28 00:00:00,Buy,2,1029.7,1037.02,2074.04,2074.04,NSE,NSE
Aurum Proptech Ltd.xlsx,18,0
Avanti Feeds Ltd - Archive.xlsx,60,1,45,46,2019-12-19 00:00:00,Buy,5.0,581.792,581.792,2914.03,2914.03,NSE,NSE
Avanti Feeds.xlsx,104,12,13,28,2025-10-29 00:00:00,Buy,1,717.8,722.89,722.89,,BSE,BSE
Avanti Feeds.xlsx,104,12,14,29,2025-10-29 00:00:00,Buy,4,717.95,723.03,2892.14,,BSE,BSE
Avanti Feeds.xlsx,104,12,15,30,2025-10-27 00:00:00,Buy,5,719.5,724.6,3623.02,,NSE,BSE
Avanti Feeds.xlsx,104,12,16,31,2025-10-24 00:00:00,Buy,5,723.9,729.03,3645.15,,NSE,BSE
Avanti Feeds.xlsx,104,12,17,33,2025-10-23 00:00:00,Buy,9,731,736.19,6625.67,,NSE,BSE
Avanti Feeds.xlsx,104,12,18,32,2025-10-23 00:00:00,Buy,1,730.85,736.02,736.02,,NSE,BSE
Avanti Feeds.xlsx,104,12,23,36,2025-09-24 00:00:00,Buy,10,678.95,683.75,6837.55,,NSE,BSE
Avanti Feeds.xlsx,104,12,24,37,2025-09-03 00:00:00,Buy,10,677.75,682.56,6825.62,6825.62,BSE,BSE
Avanti Feeds.xlsx,104,12,25,38,2025-08-28 00:00:00,Buy,5,625.8,630.25,3151.23,3151.23,NSE,NSE
Avanti Feeds.xlsx,104,12,27,41,2025-08-04 00:00:00,Buy,5,665.2,669.93,3349.66,3349.66,NSE,NSE
Avanti Feeds.xlsx,104,12,43,45,2025-06-04 00:00:00,Buy,1,774.3,774.3,774.3,774.3,NSE,NSE
